id,public_metrics,entities,created_at,text,user_id,author
1356554177833533442,"{'retweet_count': 106, 'reply_count': 73, 'like_count': 674, 'quote_count': 12}","{'mentions': [{'start': 181, 'end': 185, 'username': 'akk', 'id': '47620601'}]}",2021-02-02T10:44:54.000Z,"Die #Türkei destabilisiert Europa &amp; seine Nachbarschaft, bricht das Völkerrecht &amp; unterminiert den Zusammenhalt in der #NATO. #Erdogan macht sich zum Handlanger von #Putin. @akk muss klare Ansagen machen. Annäherung nur mit echtem Kurswechsel, bis dahin Stopp der Rüstungsexporte!",19108766,Cem Özdemir
1356336185602355203,"{'retweet_count': 0, 'reply_count': 12, 'like_count': 33, 'quote_count': 0}","{'mentions': [{'start': 105, 'end': 114, 'username': 'ABlinken', 'id': '635716830'}, {'start': 121, 'end': 132, 'username': 'Rob_Malley', 'id': '397055388'}, {'start': 199, 'end': 208, 'username': 'DIGeV_de', 'id': '978222249529499648'}]}",2021-02-01T20:18:40.000Z,"Das Iran-Abkommen #JCPOA ist nicht perfekt. Doch wir müssen den #Iran stoppen, solange es noch geht. Mit @ABlinken &amp; @Rob_Malley kann das gelingen. 

Interessante Diskussion letzte Woche mit der @DIGeV_de Region Stuttgart &amp; Kolleg*innen aus dem Bundestag. https://t.co/rWucUA77jU",19108766,Cem Özdemir
1356282703335874560,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 15, 'username': 'technikjuli', 'id': '1175093407557070848'}, {'start': 39, 'end': 52, 'username': 'ElectriveNet', 'id': '213995324'}, {'start': 57, 'end': 70, 'username': 'cem_oezdemir', 'id': '19108766'}]}",2021-02-01T16:46:09.000Z,"RT @technikjuli: Schönes Interview von @ElectriveNet mit @cem_oezdemir. Er hat Antriebs-/Verkehrswende verstanden und denkt politisch, sinn…",19108766,Cem Özdemir
1356268550915239938,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 19, 'username': 'EuropeanMoments', 'id': '1222972799146479617'}, {'start': 62, 'end': 74, 'username': 'Die_Gruenen', 'id': '14553288'}, {'start': 76, 'end': 89, 'username': 'cem_oezdemir', 'id': '19108766'}]}",2021-02-01T15:49:55.000Z,"RT @EuropeanMoments: In our latest interview, former co-chair @Die_Gruenen  @cem_oezdemir talks about the Greens’ top #EU policy priorities…",19108766,Cem Özdemir
1355933156533276675,"{'retweet_count': 58, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 15, 'username': 'SLagodinsky', 'id': '436470131'}]}",2021-01-31T17:37:11.000Z,RT @SLagodinsky: Julia #Nawalny ist festgenommen und ausserhalb des Moskauer Innenstadtrings gebracht. Ihren Anwälten wurde der Zugang mit…,19108766,Cem Özdemir
1355572917103448065,"{'retweet_count': 30, 'reply_count': 51, 'like_count': 1296, 'quote_count': 3}",,2021-01-30T17:45:43.000Z,"Heute hat meine Mutter die erste Corona-Impfung erhalten. Ich bin froh und dankbar, dass im Impfzentrum in #Stuttgart alles so reibungslos funktioniert, auch wenn bei der Terminfindung Geduld gefragt war. 
Vielen Dank an alle, die hier jeden Tag alles geben, um Leben zu retten. https://t.co/W81ar6wXH1",19108766,Cem Özdemir
1355562067030380545,"{'retweet_count': 10, 'reply_count': 1, 'like_count': 149, 'quote_count': 0}","{'mentions': [{'start': 66, 'end': 78, 'username': 'Die_Gruenen', 'id': '14553288'}]}",2021-01-30T17:02:36.000Z,"War eine Ehre, Dich gekannt zu haben, lieber Wilhelm Knabe. Wir ⁦⁦@Die_Gruenen⁩ verdanken Dir sehr viel. Ruhe in Frieden. Herzliches Beileid der Familie.  https://t.co/bkU9L2JRbT",19108766,Cem Özdemir
1355506905775546368,"{'retweet_count': 116, 'reply_count': 80, 'like_count': 572, 'quote_count': 23}","{'mentions': [{'start': 15, 'end': 19, 'username': 'CSU', 'id': '21107582'}, {'start': 26, 'end': 30, 'username': 'fdp', 'id': '39475170'}]}",2021-01-30T13:23:25.000Z,"Falls sich bei @CSU &amp; @fdp noch jemand fragt, wieso sich das #EAuto bei klimafreundlichen Antrieben durchsetzt, Antwort der Bundesregierung auf meine Anfrage: 
Wirkungsgrad #Efuels: 10 bis 15 % 
#Wasserstoff in Brennstoffzellen: 26%
#Strom in E-Autos: 70 %
https://t.co/n1qbmCyg1V",19108766,Cem Özdemir
1355487947588579330,"{'retweet_count': 91, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 13, 'username': 'ABaerbock', 'id': '1469264387512979461'}, {'start': 52, 'end': 66, 'username': 'Markus_Soeder', 'id': '793778228'}]}",2021-01-30T12:08:05.000Z,"RT @ABaerbock: Gut, wenn endlich auch Teile d Union @Markus_Soeder einsehen, dass der Markt gerade in einer Pandemie nicht alles regelt. So…",19108766,Cem Özdemir
1355172784876494854,"{'retweet_count': 54, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 14, 'username': 'Thomaschke', 'id': '36642480'}, {'start': 20, 'end': 35, 'username': 'ManuelaRottman', 'id': '984735466783232000'}]}",2021-01-29T15:15:44.000Z,"RT @Thomaschke: 💪💪💪
@ManuelaRottman gerade im #Bundestag:
""Herr #Brandner:
Ich habe an der Uni gearbeitet. Bei solchen Elaboraten wie ihrem…",19108766,Cem Özdemir
1355129319375466502,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 11, 'username': 'darfmin', 'id': '1102593845827719168'}]}",2021-01-29T12:23:01.000Z,"RT @darfmin: ""Das jetzige System ist krachend gescheitert, es führt zu einer massiven Ungerechtigkeit, zu Wettbewerbsverzerrung, der Ehrlic…",19108766,Cem Özdemir
1355112825795072001,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 18, 'username': 'StefanGelbhaar', 'id': '426582569'}]}",2021-01-29T11:17:29.000Z,RT @StefanGelbhaar: Heute beginnt die Auseinandersetzung im Bundestag um die gesetzlichen Grundlagen für die künftigen Mobilitätsdienstleis…,19108766,Cem Özdemir
1355092992407855104,"{'retweet_count': 2, 'reply_count': 7, 'like_count': 33, 'quote_count': 0}","{'mentions': [{'start': 171, 'end': 175, 'username': 'VfB', 'id': '138401594'}, {'start': 176, 'end': 185, 'username': 'FCBayern', 'id': '773069256'}, {'start': 186, 'end': 199, 'username': 'DFL_Official', 'id': '937677865453268992'}]}",2021-01-29T09:58:40.000Z,"Ein gutes Signal, dass wieder alle Klubs an einem Tisch sitzen sollen - am besten mit einer offenen Debatte wie das viele TV-Geld zwischen den Klubs verteilt werden soll. @VfB @FCBayern @DFL_Official 

https://t.co/8M0reOC1ka",19108766,Cem Özdemir
1354787204070068230,"{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 12, 'username': 'cziedler', 'id': '259040396'}, {'start': 27, 'end': 31, 'username': 'ZDF', 'id': '57350105'}, {'start': 37, 'end': 50, 'username': 'cem_oezdemir', 'id': '19108766'}]}",2021-01-28T13:43:34.000Z,"RT @cziedler: Ein Tipp ans @zdf von ⁦@cem_oezdemir⁩ , wie es mit dem „beliebtesten Satireminister“ Andreas #Scheuer zu höherer Einschaltquo…",19108766,Cem Özdemir
1354733273239453696,"{'retweet_count': 101, 'reply_count': 38, 'like_count': 981, 'quote_count': 4}",,2021-01-28T10:09:16.000Z,"Walter #Lübcke wurde für seine Menschlichkeit ermordet. Rechter Terror tötet Menschen. Bei uns. Das Urteil bestraft den Mörder &amp; tut gut. Es zerschlägt aber noch keine Terrornetzwerke. Das ist dringlichste Aufgabe, wenn wir weitere Morde verhindern wollen. #KeinSchlussstrich",19108766,Cem Özdemir
